initial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
5000.000,0.010,0.900,500,62288.535,57943.812,54679.000,1.060,5.971,187
5000.000,0.010,0.900,1000,62288.535,57316.128,54679.000,1.048,4.823,360
5000.000,0.010,0.950,500,62288.535,57809.400,54679.000,1.057,5.725,371
5000.000,0.010,0.950,1000,62288.535,56463.116,54679.000,1.033,3.263,730
5000.000,0.010,0.990,500,62288.535,55596.424,54679.000,1.017,1.678,1856
5000.000,0.010,0.990,1000,62288.535,55657.586,54679.000,1.018,1.790,3719
5000.000,0.001,0.900,500,62288.535,58078.674,54679.000,1.062,6.218,208
5000.000,0.001,0.900,1000,62288.535,56662.104,54679.000,1.036,3.627,415
5000.000,0.001,0.950,500,62288.535,56819.013,54679.000,1.039,3.914,428
5000.000,0.001,0.950,1000,62288.535,57066.961,54679.000,1.044,4.367,857
5000.000,0.001,0.990,500,62288.535,56352.539,54679.000,1.031,3.061,2181
5000.000,0.001,0.990,1000,62288.535,56380.437,54679.000,1.031,3.112,4378
10000.000,0.010,0.900,500,62288.535,57642.454,54679.000,1.054,5.420,185
10000.000,0.010,0.900,1000,62288.535,57424.190,54679.000,1.050,5.021,373
10000.000,0.010,0.950,500,62288.535,58086.799,54679.000,1.062,6.232,380
10000.000,0.010,0.950,1000,62288.535,57158.371,54679.000,1.045,4.534,766
10000.000,0.010,0.990,500,62288.535,55946.753,54679.000,1.023,2.319,1955
10000.000,0.010,0.990,1000,62288.535,55956.538,54679.000,1.023,2.336,3902
10000.000,0.001,0.900,500,62288.535,58012.276,54679.000,1.061,6.096,216
10000.000,0.001,0.900,1000,62288.535,57820.062,54679.000,1.057,5.745,433
10000.000,0.001,0.950,500,62288.535,58024.754,54679.000,1.061,6.119,449
10000.000,0.001,0.950,1000,62288.535,56930.094,54679.000,1.041,4.117,889
10000.000,0.001,0.990,500,62288.535,55866.673,54679.000,1.022,2.172,2275
10000.000,0.001,0.990,1000,62288.535,56672.626,54679.000,1.036,3.646,4566
20000.000,0.010,0.900,500,62288.535,59070.474,54679.000,1.080,8.031,195
20000.000,0.010,0.900,1000,62288.535,56751.747,54679.000,1.038,3.791,391
20000.000,0.010,0.950,500,62288.535,57804.002,54679.000,1.057,5.715,405
20000.000,0.010,0.950,1000,62288.535,57258.749,54679.000,1.047,4.718,801
20000.000,0.010,0.990,500,62288.535,56069.237,54679.000,1.025,2.543,2056
20000.000,0.010,0.990,1000,62288.535,56448.126,54679.000,1.032,3.235,4098
20000.000,0.001,0.900,500,62288.535,58036.630,54679.000,1.061,6.141,227
20000.000,0.001,0.900,1000,62288.535,58257.998,54679.000,1.065,6.545,456
20000.000,0.001,0.950,500,62288.535,57859.408,54679.000,1.058,5.817,468
20000.000,0.001,0.950,1000,62288.535,56307.954,54679.000,1.030,2.979,926
20000.000,0.001,0.990,500,62288.535,55429.983,54679.000,1.014,1.373,2370
20000.000,0.001,0.990,1000,62288.535,55638.734,54679.000,1.018,1.755,4751
